code,definition,attributeName,metadata_pid
ANACAPA,Anacapa Island,SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
AVILA,Avila Beach,SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
FBPC,Point Cabrillo,SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
GAVIOTA,Gaviota Pier,SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
OCNBCH,Ocean Beach,SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
SBELL,Ellwood Pier,SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
SBSTWRF,Stearns Wharf,SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
SIO,Scripps,SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
1,Line 1,LINE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
2,Line 2,LINE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
