attributeName,attributeLabel,attributeDefinition,storageType,measurementScale,domain,formatString,dateTimePrecision,unit,precision,numberType,definition,missingValueCode,missingValueCodeExplanation,metadata_pid
SITE,Site,"Sampling location, piers along the coast of California.",string,nominal,enumeratedDomain,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
DATE_DEPLOYED,Date Deployed,Date brushes were deployed at the pier,string,dateTime,dateTimeDomain,mm/dd/yyyy,1,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
DATE_RETRIEVED,Date Retrieved,Date brushes were retrieved from the pier,string,dateTime,dateTimeDomain,mm/dd/yyyy,1,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
DURATION,Duration,Deployment duration in days (date_retrieved - date_deployed),integer,ratio,numericDomain,NA,NA,day,1,real,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
LINE,Line Code,Replicate number of deployment line,string,nominal,enumeratedDomain,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
POSITION,Position,Vertical position of a set of two to four replicate brushes,string,nominal,textDomain,NA,NA,NA,NA,NA,any text,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
BRUSH,Brush number,Replicate number of sampling brush (numbered 1-6),string,nominal,textDomain,NA,NA,NA,NA,NA,any text,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
SAMPLEID,Sample ID,Sample ID,string,nominal,textDomain,NA,NA,NA,NA,NA,any text,-99999,No data,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
ARTHROPODA,Brush Density (settlement rate) of Arthropods,"Average number of settlers per day per brush (85cm2) each day during the deployment period, based on 4-20 replicate brushes.",float,ratio,numericDomain,NA,NA,numberPer85CentimeterSquaredPerDay,0.1,real,NA,-99999,No data,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
BIVALVIA,Brush Density (settlement rate) of Bivalves,"Average number of settlers per day per brush (85cm2) each day during the deployment period, based on 4-20 replicate brushes.",float,ratio,numericDomain,NA,NA,numberPer85CentimeterSquaredPerDay,0.1,real,NA,-99999,No data,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
GASTROPODA,Brush Density (settlement rate) of Gastropods,"Average number of settlers per day per brush (85cm2) each day during the deployment period, based on 4-20 replicate brushes.",float,ratio,numericDomain,NA,NA,numberPer85CentimeterSquaredPerDay,0.1,real,NA,-99999,No data,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
OPHIUROIDEA_ASTERPODEA,Brush Density (settlement rate) of ophiuroidea and asterpodea,"Average number of settlers per day per brush (85cm2) each day during the deployment period, based on 4-20 replicate brushes.",float,ratio,numericDomain,NA,NA,numberPer85CentimeterSquaredPerDay,0.1,real,NA,-99999,No data,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
S_PURPURATUS,Brush Density (settlement rate) of S. purparatus,"Average number of settlers per day per brush (85cm2) each day during the deployment period, based on 4-20 replicate brushes.",float,ratio,numericDomain,NA,NA,numberPer85CentimeterSquaredPerDay,0.1,real,NA,-99999,No data,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
M_FRANCISCANUS,Brush Density (settlement rate) of M. franciscanus,"Average number of settlers per day per brush (85cm2) each day during the deployment period, based on 4-20 replicate brushes.",float,ratio,numericDomain,NA,NA,numberPer85CentimeterSquaredPerDay,0.1,real,NA,-99999,No data,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
TOTAL_URCHINS,Brush Density (settlement rate) of total Urchins,"Average number of settlers per day per brush (85cm2) each day during the deployment period, based on 4-20 replicate brushes.",float,ratio,numericDomain,NA,NA,numberPer85CentimeterSquaredPerDay,0.1,real,NA,-99999,No data,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/52/10
